RUN	pokemonapi.PokemonApiTest	pokemonapitest	1720475957830	 	3.11.3
USER	Pokemon API Test	START	1720475958377
USER	Pokemon API Test	START	1720475958474
USER	Pokemon API Test	START	1720475958574
USER	Pokemon API Test	START	1720475958675
REQUEST		Get Pikachu	1720475958475	1720475958534	OK	 
USER	Pokemon API Test	START	1720475958776
REQUEST		Get Pikachu	1720475958576	1720475958631	OK	 
USER	Pokemon API Test	END	1720475958782
USER	Pokemon API Test	END	1720475958783
REQUEST		Get Pikachu	1720475958398	1720475958505	OK	 
USER	Pokemon API Test	END	1720475958786
USER	Pokemon API Test	START	1720475958786
USER	Pokemon API Test	START	1720475958790
REQUEST		Get Pikachu	1720475958676	1720475958776	OK	 
USER	Pokemon API Test	END	1720475958811
USER	Pokemon API Test	START	1720475958811
USER	Pokemon API Test	START	1720475958813
REQUEST		Get Pikachu	1720475958791	1720475958836	OK	 
USER	Pokemon API Test	END	1720475958840
USER	Pokemon API Test	START	1720475958840
REQUEST		Get Pikachu	1720475958777	1720475958862	OK	 
REQUEST		Get Pikachu	1720475958812	1720475958877	OK	 
USER	Pokemon API Test	END	1720475958904
USER	Pokemon API Test	START	1720475958904
USER	Pokemon API Test	END	1720475958905
USER	Pokemon API Test	START	1720475958905
USER	Pokemon API Test	START	1720475958908
REQUEST		Get Pikachu	1720475958841	1720475958899	OK	 
USER	Pokemon API Test	END	1720475958925
USER	Pokemon API Test	START	1720475958926
REQUEST		Get Pikachu	1720475958814	1720475958895	OK	 
USER	Pokemon API Test	END	1720475958929
USER	Pokemon API Test	START	1720475958929
REQUEST		Get Pikachu	1720475958787	1720475958915	OK	 
USER	Pokemon API Test	END	1720475958935
USER	Pokemon API Test	START	1720475958936
REQUEST		Get Pikachu	1720475958913	1720475958952	OK	 
USER	Pokemon API Test	END	1720475958965
USER	Pokemon API Test	START	1720475958973
USER	Pokemon API Test	START	1720475958977
REQUEST		Get Pikachu	1720475958930	1720475958989	OK	 
USER	Pokemon API Test	END	1720475959013
REQUEST		Get Pikachu	1720475958973	1720475959021	OK	 
USER	Pokemon API Test	END	1720475959025
USER	Pokemon API Test	START	1720475959027
REQUEST		Get Pikachu	1720475958909	1720475958987	OK	 
USER	Pokemon API Test	START	1720475959029
REQUEST		Get Pikachu	1720475958927	1720475958993	OK	 
USER	Pokemon API Test	END	1720475959029
USER	Pokemon API Test	END	1720475959030
USER	Pokemon API Test	START	1720475959030
REQUEST		Get Pikachu	1720475958905	1720475958969	OK	 
USER	Pokemon API Test	END	1720475959041
REQUEST		Get Pikachu	1720475958936	1720475959023	OK	 
USER	Pokemon API Test	START	1720475959041
USER	Pokemon API Test	END	1720475959042
USER	Pokemon API Test	START	1720475959042
USER	Pokemon API Test	START	1720475959042
REQUEST		Get Pikachu	1720475958977	1720475959036	OK	 
USER	Pokemon API Test	END	1720475959060
USER	Pokemon API Test	START	1720475959060
REQUEST		Get Pikachu	1720475959042	1720475959078	OK	 
